symbol,date,monthly.returns
NFLX,2014-11-28,-0.1175752073146461
NFLX,2014-12-31,-0.014368510675287993
NFLX,2015-01-30,0.29328761472768305
NFLX,2015-02-27,0.07494339831307606
NFLX,2015-03-31,-0.12259163940767659
NFLX,2015-04-30,0.3355252298186935
NFLX,2015-05-29,0.12140161006289296
NFLX,2015-06-30,0.052687254768370106
NFLX,2015-07-31,0.21802597060294104
NFLX,2015-08-31,0.006298670392768324
NFLX,2015-09-30,-0.10232110842668096
NFLX,2015-10-30,0.04958352605881222
NFLX,2015-11-30,0.13794062939492413
NFLX,2015-12-31,-0.07256956827098726
NFLX,2016-01-29,-0.19706243741202412
NFLX,2016-02-29,0.01709503558776282
NFLX,2016-03-31,0.0944224239622129
NFLX,2016-04-29,-0.11933878159037126
